chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label_list
0.10648348,0.13389736,0.22249597,0.13310243,0.116068065,0.09752608,0.24255799,0.94124943,0.25846678,0.107119404,0.10056076,0.1033455,Trombone
0.15650661,0.38333026,0.15680541,0.19675826,0.8048367,0.39154008,0.11068776,0.14710417,0.20392068,0.95294994,0.45186773,0.1337188,French horn
0.2803649,0.10513878,0.08599098,0.11274828,0.25394586,0.9715265,0.2497946,0.1216834,0.14494176,0.20441921,0.11428207,0.11811863,Trombone
0.076603524,0.079325765,0.09301456,0.17065598,0.10254274,0.06556394,0.06913176,0.26454243,0.9742127,0.45350236,0.08860317,0.07297339,French horn
0.053572856,0.0527929,0.05399406,0.053420298,0.053578097,0.051174894,0.047802266,0.049923465,0.2544523,0.9690325,0.23845695,0.057944927,French horn
0.7166803,0.2532855,0.2535306,0.32950315,0.32343322,0.9232718,0.29099566,0.21379717,0.30142096,0.56002986,0.21812342,0.29498345,Trombone
0.04846986,0.0428152,0.044813164,0.043620672,0.039826345,0.03748775,0.038482588,0.03993946,0.22678235,0.98448235,0.26990443,0.0582386,French horn
0.64269483,0.39056796,0.4604974,0.66279525,0.45148978,0.8813838,0.45290664,0.7278086,0.56664115,0.98924696,0.53747237,0.51465166,Trombone
0.73858255,0.26140442,0.42460045,0.5244646,0.42620134,0.88494986,0.35256574,0.377824,0.5767264,0.93876964,0.26915193,0.36504036,Trombone
0.0036361963,0.0124426335,0.0016304497,0.004740976,0.03442856,0.0059088008,0.0006036303,0.002718861,0.18232106,0.9982055,0.22313122,0.0052843844,French horn
0.081062265,0.09673445,0.16361272,0.11838112,0.11091788,0.112655215,0.27008638,0.97072715,0.2772953,0.10658971,0.08464582,0.08231004,Trombone
0.27475017,0.9756781,0.2464736,0.077741094,0.07130761,0.089027576,0.05262947,0.072412804,0.18363796,0.074561864,0.05542543,0.0577903,French horn
0.3847312,0.9678953,0.27738467,0.091237016,0.079741344,0.07078881,0.061516296,0.0666509,0.07187509,0.058452003,0.05881134,0.06715756,French horn
0.2859991,0.406973,0.8146614,0.29351065,0.3413412,0.9370247,0.36185756,0.42757097,0.7286987,0.3019811,0.73474014,0.32310754,French horn
0.015096099,0.22212882,1.0,0.18566561,0.0043595657,0.0060170195,0.01848516,0.0019445473,0.02291736,0.14118205,0.02157408,0.0064962353,French horn
0.08172132,0.2283682,0.77492696,0.22667775,0.077212766,0.13240837,0.2952824,0.10405378,0.29991022,0.99945986,0.27404273,0.08090585,French horn
0.42287856,0.99155605,0.25828278,0.03822624,0.02830799,0.043101087,0.015953839,0.13379268,0.4638811,0.08491193,0.017119173,0.061273847,French horn
0.099232465,0.29604974,0.98247766,0.25665566,0.07544245,0.061565425,0.057093445,0.05146456,0.069859535,0.14022948,0.08256453,0.08448114,French horn
0.29722914,0.9695948,0.29619232,0.076468505,0.06617612,0.05895495,0.053532783,0.06454981,0.097666085,0.08300451,0.07063985,0.066692375,French horn
0.28257686,1.0,0.1526904,0.005675323,0.007294596,0.017670786,0.0022835948,0.033105057,0.15654542,0.019648587,0.006648486,0.014501122,French horn
0.05309305,0.03535264,0.035202354,0.029939152,0.06427116,0.24203221,0.069814175,0.040302835,0.054837707,0.2564614,0.98933613,0.2708559,French horn
0.65416247,0.24706283,0.737354,0.35918102,0.37723348,0.3624273,0.91766036,0.29957587,0.25037745,0.96553296,0.42739755,0.29303512,French horn
0.09582187,0.33091277,0.9675453,0.40541476,0.11356879,0.081747375,0.08533259,0.0787894,0.18022972,0.59683466,0.20241351,0.08179888,French horn
0.41784596,0.9221297,0.36441875,0.29093638,0.40114084,0.77009875,0.23103973,0.39639404,0.95759827,0.3636086,0.24018319,0.3151157,French horn
0.07003458,0.24483638,0.97319835,0.40186065,0.08072457,0.05885845,0.05492324,0.063441455,0.074659124,0.0843341,0.07343244,0.06696921,French horn
0.39217845,0.8607568,0.3927728,0.3222713,0.46691605,0.8736946,0.2993477,0.41437086,0.9711109,0.41112304,0.33959773,0.4258212,French horn
0.45997378,0.136294,0.1140404,0.14579204,0.099912666,0.20019144,0.6255267,0.21974537,0.07702364,0.09945965,0.35377124,0.95803946,French horn
0.36507288,0.42814097,0.93280554,0.52181226,0.31729347,0.3574421,0.64145786,0.2604094,0.38724357,0.9081819,0.44598278,0.27509156,French horn
0.32621264,0.10312171,0.16758509,0.40881932,0.12661718,0.24823831,0.9780809,0.33287185,0.10741606,0.12343905,0.25600114,0.9252307,French horn
0.29715982,0.10293692,0.08103539,0.089154325,0.08037228,0.28195214,0.965996,0.29873455,0.117117,0.123751335,0.3387266,0.79916936,French horn
0.060892012,0.061547115,0.06442158,0.060134634,0.05139189,0.04829855,0.039399758,0.036759246,0.04228081,0.23126848,0.9810556,0.24164954,French horn
0.2641812,0.013076036,0.006580917,0.0070768083,0.0045088,0.01965338,0.09422411,0.016075017,0.003956144,0.015918946,0.34664533,1.0,French horn
0.0778326,0.05452629,0.049684256,0.048904497,0.05878175,0.14950372,0.06552969,0.043736022,0.052933577,0.24218936,0.9530853,0.34744516,French horn
0.41686442,0.3503258,0.89008087,0.53050405,0.29941058,0.35781425,0.8075686,0.33327994,0.32326305,0.9474545,0.5193622,0.26198068,French horn
0.070493996,0.21430168,0.99347925,0.27659884,0.072276294,0.06642046,0.06323353,0.068421625,0.0636043,0.060505424,0.057162054,0.060283396,French horn
0.85830945,0.4081234,0.32615128,0.40903875,0.9330394,0.33657935,0.3348915,0.9457865,0.4480885,0.35183313,0.5477997,0.3256408,French horn
0.076350175,0.24802935,0.9813113,0.39888957,0.10063062,0.08261247,0.077534705,0.0803642,0.08234956,0.09280549,0.074699886,0.06863371,French horn
0.10273974,0.32783222,0.96980435,0.50669885,0.1481275,0.0954132,0.09206169,0.07928459,0.12544116,0.38757178,0.17606904,0.08810984,French horn
0.14035003,0.2378143,0.4420898,0.13498127,0.34805617,0.9496588,0.27732503,0.16584854,0.18327548,0.3847557,0.968622,0.27151474,French horn
0.06030091,0.053187255,0.055337697,0.054267548,0.049552735,0.04598998,0.04260275,0.039511252,0.04041791,0.2026063,0.97559005,0.27897832,French horn
0.104713835,0.08922491,0.1116953,0.072566636,0.3210865,0.9597973,0.25751102,0.06381388,0.07190878,0.30565757,0.82585,0.27325058,French horn
0.2506265,0.72503847,0.41319352,0.2840059,0.33642992,0.87842155,0.33082703,0.2080326,0.94828725,0.4845924,0.21202935,0.47730646,French horn
0.941304,0.41374195,0.08781034,0.0720284,0.07784375,0.05356649,0.19942763,0.93669647,0.3238586,0.071838826,0.08707108,0.26602805,French horn
0.05005605,0.24141578,0.9899106,0.20273902,0.052418582,0.048609313,0.042615514,0.034585293,0.034453016,0.035844184,0.039590236,0.044397537,French horn
0.09203058,0.077073984,0.07710423,0.070860915,0.07375057,0.10770131,0.06701058,0.070670575,0.096071616,0.41990474,0.98137313,0.33406794,French horn
0.3190712,0.99755996,0.20595647,0.013216394,0.049816757,0.13296218,0.015564387,0.20544156,0.7896138,0.14532787,0.013559633,0.029948594,French horn
0.007437114,0.0028341287,0.0046407976,0.0009823743,0.036727715,0.16927467,0.021637425,0.00082298665,0.0070183994,0.29942173,1.0,0.18318492,French horn
0.28959203,0.08280624,0.07236705,0.062481914,0.050545305,0.059153497,0.12764327,0.061459098,0.04937658,0.058943074,0.33086902,0.98710877,French horn
0.31374285,0.4661603,0.8247101,0.27698213,0.43338522,0.9569923,0.33659673,0.5229685,0.66498446,0.41689712,0.83578384,0.32059342,French horn
0.038443867,0.17263408,0.9831078,0.28006354,0.07076991,0.048229974,0.03673591,0.034216933,0.029807601,0.034661565,0.027962051,0.03155172,French horn
1.0,0.305831,0.016534252,0.056217447,0.22396351,0.030481068,0.13249117,0.76335335,0.22089115,0.017580105,0.034744833,0.2044493,French horn
0.22007802,0.04533088,0.034624115,0.030869648,0.027634753,0.025981821,0.02747562,0.029867765,0.033852987,0.039622013,0.25049362,0.99631506,French horn
0.1903599,0.040740505,0.03697248,0.041795786,0.04002214,0.04239472,0.04364118,0.040439963,0.047744785,0.0525883,0.2626738,0.9791005,French horn
0.0033465088,0.003062,0.0099910945,0.0011693686,0.0047965758,0.035895158,0.0059244935,0.00026169908,0.0017761036,0.18163419,1.0,0.19914752,French horn
0.8907067,0.45101836,0.36429974,0.42661372,0.898824,0.3559655,0.3709301,0.9489335,0.44333702,0.36337602,0.5838397,0.3695099,French horn
0.96933186,0.2752093,0.083092175,0.15048087,0.35389704,0.10717685,0.28012565,0.9833252,0.282743,0.11390037,0.13125874,0.29292786,French horn
0.20174538,0.006173016,0.0014753139,0.0031438218,0.00063819764,0.02568818,0.13707544,0.019604826,0.000553014,0.0062355134,0.27339873,1.0,French horn
0.03842175,0.25737786,0.9943318,0.24150303,0.013230443,0.035643205,0.114205524,0.018360877,0.16382621,0.7824952,0.17066745,0.017138192,French horn
0.26296327,0.7757589,0.21013685,0.06246854,0.12356044,0.27642608,0.06777411,0.27647758,0.99362034,0.24808773,0.077308364,0.08665584,French horn
0.94795305,0.40019432,0.14684752,0.12950517,0.11499219,0.105081856,0.10755944,0.1357189,0.15730168,0.16200428,0.15576272,0.34188458,French horn
0.32287413,0.08459045,0.06393435,0.05882438,0.055484828,0.060187116,0.08592478,0.063090466,0.059716344,0.07458665,0.38374403,0.98221254,French horn
1.0,0.36444375,0.026282888,0.026038645,0.09535824,0.016337419,0.12028013,0.68943995,0.20454068,0.010431669,0.028920263,0.24418242,French horn
1.0,0.28570613,0.016720422,0.0074251387,0.024270551,0.004604623,0.02954784,0.24764764,0.05637732,0.0048067872,0.013682834,0.15821283,French horn
0.011774849,0.0019522624,0.0019091639,0.0012634236,0.019350715,0.07643364,0.010028761,0.0013181141,0.014667375,0.384033,1.0,0.24167383,French horn
0.25675297,0.068897314,0.07075068,0.06992273,0.05992125,0.05407204,0.050401486,0.05058822,0.051239375,0.05735522,0.23894697,0.97876966,French horn
0.25148395,0.7729189,0.25052083,0.0692887,0.08780116,0.17351753,0.058175933,0.24285813,0.94968987,0.24881367,0.05698893,0.06358491,French horn
0.7565434,0.30329534,0.35698107,0.497191,0.82216924,0.29148662,0.42498016,0.9686004,0.34967384,0.48070356,0.6199568,0.3584725,French horn
0.9803281,0.26973513,0.08060636,0.07526655,0.09508385,0.06397136,0.09251104,0.2942278,0.11526538,0.08192323,0.086666584,0.25352573,French horn
0.19684209,0.97960865,0.26992437,0.06174517,0.052037563,0.047561184,0.04515014,0.049596947,0.06070099,0.059731435,0.05801061,0.059442542,French horn
0.9818854,0.20236017,0.0326672,0.03120487,0.032259334,0.03288106,0.034145724,0.040641975,0.04670191,0.047717012,0.046100736,0.22939841,French horn
0.9686159,0.45091036,0.10748122,0.09238022,0.14530474,0.073316604,0.16536443,0.7114589,0.2571061,0.072512425,0.07332712,0.2774211,French horn
0.9675388,0.36350328,0.086447634,0.08016929,0.07672118,0.06794169,0.06771386,0.14196208,0.07834379,0.060485087,0.06875485,0.21980205,French horn
0.98849064,0.22079648,0.044162806,0.035918497,0.03284909,0.033556517,0.0357284,0.04212628,0.046868943,0.04591669,0.045663584,0.2305878,French horn
0.99321455,0.23066005,0.07468187,0.07285567,0.07338398,0.06866151,0.060817152,0.06062895,0.05972281,0.061761238,0.07054234,0.25953588,French horn
0.18135522,0.0023981188,0.0025389588,0.008949276,0.00077880576,0.0054498236,0.038901493,0.005859052,0.00037109028,0.002988612,0.1975558,1.0,French horn
0.073241964,0.06209458,0.062257733,0.0610685,0.05757004,0.05683765,0.050772578,0.05057237,0.062384676,0.2220987,0.97785467,0.29518175,French horn
0.28917283,0.091820605,0.078681126,0.08530956,0.060820967,0.116387695,0.4247498,0.12305313,0.0809851,0.09886123,0.28570163,0.9886144,French horn
0.4025661,0.9878349,0.33888867,0.09898906,0.08018639,0.09422595,0.057343706,0.18661085,0.5845882,0.16939461,0.0706849,0.0911385,French horn
0.002206971,0.0065966356,0.042480525,0.0062501286,0.0010389377,0.0043757996,0.23222828,1.0,0.18714075,0.003543227,0.0075360346,0.02582627,French horn
0.17813689,0.9688179,0.28617024,0.065922566,0.062552966,0.06225488,0.057202794,0.061087854,0.07094079,0.071616456,0.06268407,0.05578052,French horn
0.011927454,0.012763026,0.17021662,0.93991107,0.19419242,0.031746242,0.058176227,0.052659992,0.02528945,0.016850123,0.026041321,0.0143198725,French horn
0.10153879,0.11784007,0.4303392,0.97814417,0.36939716,0.101475276,0.07616781,0.07565435,0.06250055,0.09085707,0.1987414,0.11325812,French horn
0.06941972,0.08525194,0.19631478,0.11373662,0.078843445,0.07818575,0.22400056,0.97134143,0.37638912,0.073341526,0.062549725,0.07676665,French horn
0.064277194,0.05573124,0.053224947,0.056536674,0.21902685,0.96725106,0.3177285,0.05873661,0.05788671,0.058842495,0.056761708,0.052852783,French horn
0.67951995,0.35880056,0.112089664,0.12741728,0.2623925,0.947494,0.39379922,0.14184804,0.20718434,0.5268143,0.1723673,0.21072319,French horn
0.3430844,0.10922943,0.059803873,0.063779384,0.2939745,0.9750105,0.32716557,0.06968298,0.061237838,0.063278,0.050543033,0.10428959,French horn
0.005367927,0.10648141,0.5221937,0.0830165,0.0023985836,0.00900466,0.26805082,0.9986258,0.22010688,0.011846889,0.011220917,0.028927788,French horn
0.051386915,0.052029062,0.061337166,0.23914045,0.9812185,0.21101797,0.04953244,0.047608666,0.05436225,0.05215623,0.047824636,0.05379651,French horn
0.012154042,0.026360122,0.031882476,0.2057911,1.0,0.19273694,0.018094191,0.008932256,0.0058524823,0.0031617212,0.0051836413,0.016825372,French horn
0.042402256,0.04057703,0.040080592,0.044443857,0.048404206,0.04976559,0.22139987,0.9862894,0.32422084,0.06474611,0.053383976,0.043596707,French horn
0.110566385,0.5638973,0.10493677,0.0035804766,0.01314216,0.2631792,0.99541813,0.23582485,0.009300186,0.01563666,0.044372767,0.0082773445,French horn
0.11729212,0.37088424,0.1082016,0.05849094,0.06953322,0.2904033,0.9738117,0.31776625,0.1001495,0.090027355,0.088394776,0.06579023,French horn
0.0353776,0.039175786,0.20243478,0.9911659,0.22543958,0.0422438,0.03410122,0.03516861,0.038814485,0.039335486,0.043600336,0.037702464,French horn
0.36877385,0.82144946,0.3193562,0.3838115,0.49887747,0.3736692,0.94237125,0.3236219,0.2898118,0.43659386,0.8105971,0.284943,French horn
0.047922775,0.053410817,0.06783123,0.31870192,0.9879351,0.24443284,0.068461366,0.06503554,0.07647136,0.061920352,0.056159727,0.08551368,French horn
0.0077691595,0.019564606,0.19875863,1.0,0.21056259,0.006086401,0.0064209555,0.022334844,0.0026152085,0.025439877,0.18485425,0.03226491,French horn
0.77537984,0.39413983,0.17389134,0.25064436,0.32454854,0.95931184,0.45797905,0.17296349,0.25523543,0.6400477,0.22562675,0.25398573,French horn
0.045873847,0.042574517,0.053367943,0.206937,0.994008,0.2633892,0.04454786,0.03750247,0.03377898,0.031137832,0.032736354,0.040242843,French horn
0.004679781,0.027544916,0.10066906,0.021905659,0.0048670033,0.022467542,0.3705799,1.0,0.3094979,0.016983468,0.009275353,0.017126648,French horn
