chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,label_list
0.42280248,0.27366954,0.918852,0.27601874,0.109978214,0.19437245,0.5838081,0.13783835,0.13517016,0.41828066,0.15560801,0.2254549,Violin
0.15464866,0.27243885,0.98701257,0.40969706,0.115459405,0.10910959,0.15972754,0.09738809,0.09951654,0.17584503,0.1151533,0.110162266,Violin
0.29649127,0.281997,0.96715623,0.32390746,0.092157885,0.14096515,0.43634707,0.106378324,0.0797461,0.18161,0.09364937,0.14799927,Violin
0.547837,0.28111976,0.9378806,0.2969795,0.13155736,0.22576448,0.6512074,0.15111166,0.14764965,0.4697499,0.17940255,0.29872003,Violin
0.18962379,0.46726263,0.93436486,0.4166595,0.1106727,0.08441471,0.11915989,0.063183874,0.15206221,0.45046717,0.15132472,0.11005227,Violin
0.05496812,0.10515538,0.3579444,0.0967568,0.053915534,0.055050578,0.07321203,0.046995357,0.16053069,0.9383719,0.18964568,0.052583378,Violin
0.61750686,0.26391593,0.9240303,0.27640077,0.09741648,0.17400949,0.5322823,0.11748952,0.10120545,0.30022705,0.12351562,0.30280578,Violin
0.25431293,0.45317045,0.9924412,0.6740283,0.1412641,0.089246206,0.2317358,0.08413037,0.07737569,0.23106244,0.12946224,0.12085568,Violin
0.117643476,0.24526876,0.9875813,0.40851185,0.072184056,0.086156726,0.28376207,0.091225214,0.06195971,0.11323701,0.073813654,0.07277975,Violin
0.075230375,0.13660748,0.5140371,0.14223701,0.07350389,0.079651326,0.13163906,0.06895738,0.16564976,0.90779716,0.21570852,0.070619896,Violin
0.10279095,0.20436557,0.9731132,0.3807447,0.06641699,0.13110621,0.59608996,0.12738322,0.0572502,0.1394221,0.07856329,0.06769922,Violin
0.09386973,0.22103827,0.9890275,0.24577005,0.08950571,0.08234636,0.0856273,0.07884151,0.09581053,0.2166573,0.10893166,0.086023055,Violin
0.07245909,0.26852542,0.9929245,0.17748925,0.06769513,0.060690533,0.0654838,0.057172805,0.12222975,0.44353163,0.116577186,0.064656764,Violin
0.08139117,0.12560636,0.4323224,0.14856483,0.084369496,0.07972333,0.10150516,0.073746175,0.15902324,0.9567782,0.26759622,0.077410094,Violin
0.24165523,0.21365212,0.4859407,0.35674796,0.99044126,0.5804815,0.18803199,0.09480975,0.09018781,0.07718709,0.112009175,0.4386217,Violin
0.12757516,0.12538244,0.16824134,0.27700856,0.98713696,0.2365884,0.093679145,0.107741,0.21958256,0.08908959,0.13988894,0.42774364,Violin
0.2232804,0.1467475,0.1744934,0.5133606,0.98463684,0.47718695,0.12558863,0.13857266,0.23002209,0.13188839,0.20541312,0.5502306,Violin
0.13272268,0.12128467,0.12843317,0.28706548,0.98599714,0.24578829,0.09658033,0.108352244,0.1476497,0.10173977,0.114462115,0.22969043,Violin
0.11198382,0.23585446,0.98207617,0.24734865,0.10637329,0.09289037,0.09270903,0.09226125,0.10764036,0.20797339,0.12623817,0.10660408,Violin
0.3100683,0.22081801,0.18236057,0.46205223,0.9880508,0.40354127,0.13959354,0.12902892,0.18749835,0.122755565,0.17400856,0.3955888,Violin
0.048628338,0.19042276,0.99460495,0.20287435,0.028279863,0.023260169,0.031199718,0.02774797,0.045092802,0.20209298,0.0767036,0.0409113,Violin
0.26621783,0.1624547,0.1379929,0.45286122,0.99123865,0.40767068,0.08994857,0.09586906,0.17542452,0.07192953,0.15334871,0.50940186,Violin
0.30025116,0.33982608,0.6088868,0.44275716,0.9760244,0.5545065,0.46030545,0.21973053,0.20387658,0.30920956,0.44853866,0.5729113,Violin
0.21549189,0.2075386,0.24549969,0.49648672,0.98624104,0.47096545,0.12778921,0.09110798,0.11021194,0.09313688,0.13723695,0.31915638,Violin
0.17575212,0.059229884,0.079017825,0.14948711,0.9942039,0.29582968,0.049031362,0.12250115,0.57203233,0.116115496,0.08905878,0.5514956,Violin
0.091705374,0.063399956,0.06513372,0.30421197,0.9686667,0.21428736,0.049653094,0.053254142,0.0745893,0.05609235,0.11637008,0.28542364,Violin
0.111284554,0.05155435,0.05206102,0.1778101,0.9889406,0.23920156,0.05170061,0.064962424,0.17486534,0.06482768,0.065882705,0.24993025,Violin
0.11787527,0.09665087,0.102162935,0.36159775,0.9847164,0.22704612,0.0660159,0.0671808,0.07633504,0.070588075,0.09970323,0.22607729,Violin
0.10029298,0.07866925,0.08128371,0.22089198,0.9877249,0.22142132,0.06566201,0.070910275,0.08718586,0.07246334,0.09960503,0.2317502,Violin
0.124405466,0.08188158,0.10397812,0.2521642,0.99471897,0.19575645,0.05952783,0.23201758,0.6942039,0.104751036,0.13128479,0.5312984,Violin
0.13400045,0.056330126,0.058369823,0.16435912,0.98816955,0.24868251,0.056463588,0.0654843,0.13561241,0.06677167,0.08807028,0.3816848,Violin
0.12971433,0.10971651,0.12516947,0.29166028,0.98646945,0.2813576,0.08628935,0.093722016,0.14609566,0.09014788,0.114264704,0.29308432,Violin
0.18208247,0.09294338,0.09675421,0.24192151,0.91462207,0.19083166,0.07519773,0.076780826,0.08969583,0.08550804,0.16784847,0.67065716,Violin
0.12878008,0.10752797,0.12848751,0.29850224,0.98868954,0.2286229,0.07668711,0.08653389,0.14628954,0.08011693,0.13809818,0.43022797,Violin
0.19432776,0.10553275,0.18609697,0.15399453,0.6319325,0.23480795,0.065859236,0.18365237,0.90939057,0.1928221,0.116236515,0.53171396,Violin
0.098966576,0.07394585,0.082559295,0.26952904,0.99255997,0.25058177,0.056938037,0.058712866,0.08158382,0.055681963,0.08583351,0.27211204,Violin
0.1588926,0.116464145,0.11570915,0.21954176,0.9648053,0.27235663,0.09968311,0.0984616,0.11119499,0.10577943,0.13681719,0.35104093,Violin
0.10781051,0.088221,0.09537138,0.27688095,0.9936886,0.23324373,0.07155792,0.08357378,0.13387643,0.078938395,0.09738589,0.23270552,Violin
0.111550674,0.081543945,0.08439014,0.2631547,0.98852634,0.22560546,0.05959594,0.07453547,0.14574489,0.06592825,0.10399282,0.29758304,Violin
0.12952538,0.12812367,0.12707226,0.32717198,0.980905,0.21049148,0.107821286,0.105618685,0.111215465,0.11379193,0.118276946,0.13051966,Violin
0.11834461,0.273517,0.14074983,0.14284286,0.23718508,0.284667,0.97906196,0.414993,0.112791136,0.09159635,0.111567356,0.09632688,Violin
0.082035944,0.08005722,0.082565136,0.19120035,0.9925924,0.28907484,0.06606086,0.06720706,0.07069387,0.07181409,0.07565288,0.09191394,Violin
0.17558216,0.7413442,0.24375513,0.21000569,0.48867705,0.3020348,0.96613204,0.4373774,0.09711126,0.111989856,0.3110062,0.1268147,Violin
0.1421392,0.26992035,0.15384217,0.22001629,0.36064893,0.31160337,0.97271806,0.3859502,0.13408704,0.12937602,0.23426588,0.12793046,Violin
0.13515532,0.23638324,0.15134256,0.13745485,0.16501182,0.31732288,0.96876556,0.41045624,0.12437029,0.11416503,0.12949707,0.120128125,Violin
0.22469634,0.82411945,0.17087981,0.08409864,0.08600001,0.2543248,0.8908942,0.19545662,0.07171887,0.12306251,0.24405064,0.08852908,Violin
0.21229547,0.928132,0.21890803,0.095762156,0.096980914,0.1843981,0.6559098,0.17669941,0.08626623,0.10462209,0.17197798,0.09146535,Violin
0.20503567,0.7320972,0.31994227,0.28934488,0.7307288,0.3190514,0.94913167,0.52899706,0.13431957,0.12542509,0.32562333,0.16242008,Violin
0.12944831,0.49691263,0.17757462,0.082853206,0.1256182,0.29458478,0.9826064,0.44440413,0.08773476,0.108098924,0.3299483,0.11173347,Violin
0.18257539,0.67534673,0.16484399,0.09406182,0.098158576,0.23340154,0.96284777,0.19346291,0.10637142,0.10121895,0.16326357,0.091399156,Violin
0.15824857,0.6925461,0.14970455,0.066734955,0.06987663,0.19877534,0.94473314,0.17829074,0.071108334,0.07267405,0.13238499,0.06451397,Violin
0.1171466,0.1151546,0.11678262,0.29627407,0.9859741,0.21487239,0.094353594,0.09599905,0.10512918,0.117146574,0.11131016,0.122508556,Violin
0.104033835,0.07878716,0.07910449,0.23146173,0.95851177,0.18154247,0.060055427,0.06279994,0.07193342,0.06562582,0.10801858,0.2913443,Violin
0.23747034,0.8982425,0.1863576,0.09919191,0.10437203,0.21917298,0.7196274,0.16903287,0.09778305,0.12320896,0.20925878,0.09401248,Violin
0.94381636,0.20901795,0.075519,0.08513382,0.18352978,0.6429767,0.19101754,0.060851187,0.06835077,0.09888714,0.06668681,0.17783093,Violin
0.08413333,0.19065976,0.08193054,0.06490128,0.067949235,0.21423359,0.9853495,0.20591654,0.05991285,0.06257963,0.061185196,0.06175776,Violin
0.5330544,0.19125246,0.10701276,0.17142507,0.32989636,0.9871955,0.4691837,0.107986696,0.081690595,0.16390705,0.13678586,0.20441274,Violin
0.3031614,0.14340132,0.08897716,0.12823154,0.3254415,0.9839614,0.49163145,0.23775724,0.14179657,0.23741022,0.10144831,0.10817135,Violin
0.09178302,0.22880337,0.08126412,0.057752673,0.05836522,0.23316054,0.98293704,0.17079708,0.051911525,0.05292735,0.05758942,0.05771515,Violin
0.1824454,0.64144826,0.16347998,0.08972255,0.09256185,0.25543484,0.96082735,0.22371776,0.077177204,0.09579749,0.1460379,0.085781984,Violin
0.29423478,0.12854213,0.07307157,0.11121626,0.31550896,0.98366123,0.44111925,0.08934244,0.07651629,0.15679578,0.087582186,0.10963006,Violin
0.051870815,0.15850075,0.055429265,0.035578486,0.035114232,0.17305475,0.99205273,0.18739119,0.03269467,0.03308539,0.035834894,0.03317666,Violin
0.20375696,0.87636185,0.17558783,0.06969686,0.07221362,0.198938,0.7014498,0.16067903,0.06181612,0.07557312,0.11434325,0.069608845,Violin
0.24130107,0.15618181,0.11297765,0.13980547,0.31933075,0.9724636,0.49847335,0.13325746,0.11665425,0.20058118,0.11649128,0.12137655,Violin
0.54734993,0.22860031,0.13359332,0.1632711,0.35503954,0.9814986,0.47133362,0.15937194,0.12697443,0.17961843,0.14346805,0.19570276,Violin
0.7189373,0.21076737,0.14110647,0.2788576,0.19324026,0.96667784,0.27298135,0.07515378,0.13085006,0.4358717,0.11036896,0.13195723,Violin
0.4948258,0.23340887,0.118157424,0.18328357,0.30774492,0.97870255,0.5801061,0.3652352,0.22431529,0.3877876,0.17094904,0.16952817,Violin
0.21189344,0.87471455,0.17504649,0.07442802,0.078517675,0.2144928,0.8621863,0.17180817,0.07375807,0.08483991,0.13447937,0.07827005,Violin
0.08410616,0.13964164,0.08065563,0.07244755,0.072403274,0.23390901,0.9817471,0.19158171,0.060790434,0.062026035,0.06258682,0.06642582,Violin
0.0627868,0.12407876,0.062720545,0.053322453,0.053888466,0.20981866,0.98958236,0.17747445,0.04845115,0.05059833,0.050179157,0.05060968,Violin
0.09050832,0.1722347,0.08395091,0.07580654,0.07701193,0.24269795,0.97995776,0.19093674,0.0642797,0.064488836,0.06777287,0.067232855,Violin
0.18719544,0.7109994,0.17667042,0.08193852,0.08350063,0.25038636,0.96283484,0.24261224,0.071396925,0.06896585,0.08022606,0.08012031,Violin
0.8962967,0.20052733,0.08903991,0.09367279,0.2333438,0.9162861,0.18687797,0.07306047,0.07679866,0.08240369,0.08580814,0.21066059,Violin
0.9372673,0.26721328,0.11884246,0.12831828,0.2293424,0.8590167,0.2315572,0.1037233,0.10770188,0.12224433,0.121485494,0.21290392,Violin
0.37806067,0.28435907,0.23051138,0.3403573,0.23198697,0.14208977,0.14966486,0.31524953,0.9781825,0.66104513,0.26624578,0.19668593,Violin
0.63282216,0.2279581,0.13009867,0.13344882,0.31009212,0.9666601,0.31591344,0.10755095,0.112401575,0.13171037,0.117892675,0.18067582,Violin
0.78127384,0.20635815,0.11678349,0.19389579,0.2097398,0.97358453,0.2566768,0.068250194,0.15347776,0.5320421,0.11829629,0.15316638,Violin
0.9327648,0.21272364,0.08389114,0.088599175,0.19048294,0.78860885,0.17346352,0.068177246,0.070733406,0.07570131,0.07604063,0.19082856,Violin
0.9651705,0.2006618,0.07144759,0.07859887,0.19978125,0.7031089,0.14994806,0.05854463,0.060934905,0.06771851,0.07027059,0.20532304,Violin
0.86977637,0.21100667,0.09138447,0.097373486,0.2736171,0.85946673,0.24786648,0.07935224,0.08161559,0.0966755,0.08816867,0.1949728,Violin
0.80710024,0.2316991,0.15632151,0.28776494,0.20356113,0.90930563,0.2520996,0.0804077,0.16524659,0.59476864,0.13881426,0.15785445,Violin
0.7892307,0.19972336,0.055509802,0.06127944,0.16723047,0.92598337,0.2188938,0.049598534,0.05069083,0.062382136,0.05330441,0.13822186,Violin
0.92096007,0.2260212,0.12636895,0.14408726,0.27161476,0.808393,0.24278955,0.100619406,0.107643805,0.13976729,0.107969955,0.22080378,Violin
0.76409984,0.23771445,0.14138545,0.14639467,0.31495136,0.9718863,0.30063528,0.11662695,0.122745454,0.13778919,0.1263433,0.21129487,Violin
0.8825402,0.17900294,0.10836655,0.11578516,0.3454413,0.8179081,0.19112186,0.07413989,0.12377422,0.14766352,0.077142544,0.25022358,Violin
0.7937559,0.19259319,0.06975527,0.07281667,0.19209273,0.94920665,0.20681514,0.05868577,0.061824605,0.07327845,0.06655983,0.15410843,Violin
0.4322636,0.1113924,0.16356961,0.4109397,0.11508931,0.08956551,0.10772958,0.428242,0.9831017,0.33832875,0.21810877,0.25177923,Violin
0.3347007,0.12579095,0.18190625,0.44276512,0.15382318,0.10944413,0.12530887,0.40936434,0.9760824,0.35025662,0.1465493,0.1935895,Violin
0.14359218,0.07400876,0.06682046,0.13775797,0.08498875,0.059833437,0.10189099,0.23823403,0.9864476,0.51905084,0.1464169,0.090623185,Violin
0.275365,0.1726427,0.1885789,0.343497,0.19649641,0.12270735,0.13082154,0.4101571,0.9785746,0.48960137,0.15066122,0.17281231,Violin
0.17932649,0.12028933,0.13023247,0.1863206,0.13600631,0.12004149,0.13887535,0.3369834,0.97072816,0.45291057,0.15180846,0.13154812,Violin
0.4645499,0.1566536,0.1498784,0.39249724,0.16709928,0.10127584,0.097253524,0.2238515,0.9699701,0.2838841,0.1090052,0.18461812,Violin
0.42639318,0.13191009,0.16113101,0.6102145,0.19060864,0.089027904,0.087582186,0.21871719,0.9808917,0.26778448,0.08912177,0.16155933,Violin
0.10577629,0.0746555,0.08058473,0.10717172,0.073675126,0.06330657,0.092037745,0.4781329,0.9838908,0.35011563,0.0782639,0.07954799,Violin
0.33591747,0.21743208,0.1767213,0.29315278,0.15759087,0.102350645,0.13313699,0.3789637,0.98229396,0.5228322,0.20004432,0.1944433,Violin
0.4980889,0.09995847,0.14092137,0.5962572,0.15644212,0.06782139,0.074225,0.21885285,0.9868662,0.23758648,0.06212929,0.18149772,Violin
0.30406037,0.1192674,0.13591765,0.41247788,0.16159108,0.082359746,0.09025846,0.30467984,0.9770651,0.41007483,0.10797438,0.13903604,Violin
0.4406911,0.08995684,0.120734215,0.39391237,0.11308607,0.059934936,0.05986186,0.27511683,0.9817449,0.21039172,0.06171433,0.17383455,Violin
0.07684455,0.07708994,0.09080997,0.1538639,0.08848247,0.07184698,0.067774974,0.19824478,0.98736435,0.22142191,0.07331899,0.074346036,Violin
0.4875366,0.13877046,0.1851115,0.54971564,0.17905834,0.10864339,0.10238631,0.27509862,0.97387713,0.22843464,0.10658934,0.21460742,Violin
0.11851967,0.104386725,0.11437676,0.21423271,0.11867414,0.08690708,0.083482966,0.25825062,0.9809981,0.28071785,0.09377332,0.09435501,Violin
0.085856974,0.087949425,0.09632204,0.1485416,0.097909436,0.08243878,0.083844796,0.21282975,0.9822169,0.21741824,0.08259061,0.08146345,Violin
