scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
-4.104639e-09,3.4030574e-09,-1.2031943e-08,-1.5556042e-08,3.1249576e-09,-1.1219053e-09,-1.2695615e-07,-2.491083e-07,-5.690984e-07,-3.7849603e-07,Trombone
-1.5376445e-08,5.9068754e-09,2.2030088e-08,4.3213248e-08,6.319389e-08,8.026654e-08,8.075257e-08,8.02524e-08,8.7415664e-08,1.4055118e-07,French horn
-5.589258e-08,-7.685635e-09,-1.04543396e-07,-2.5214425e-07,-1.2349646e-07,1.5134805e-07,3.2055598e-07,-3.38017e-07,-4.1453113e-06,-8.598823e-06,Trombone
-2.8463475e-07,1.5045902e-07,4.2225574e-07,7.5979733e-07,1.1498563e-06,1.513457e-06,1.8535244e-06,2.3639232e-06,2.7485394e-06,3.2763614e-06,French horn
-4.6969996e-07,2.2841814e-07,6.306487e-07,1.1535211e-06,1.7708959e-06,2.3273474e-06,2.8548652e-06,3.7561385e-06,4.4109333e-06,5.4793136e-06,French horn
-6.121278e-09,-2.1676025e-09,-6.5785932e-09,2.0593652e-10,4.8308015e-09,1.5303305e-08,7.833996e-08,2.532927e-07,5.06449e-07,8.522213e-07,Trombone
7.046492e-07,-3.6083063e-07,-1.0171017e-06,-1.8588885e-06,-2.8544869e-06,-3.8298363e-06,-4.858599e-06,-6.321546e-06,-7.697489e-06,-9.4005945e-06,French horn
-5.93051e-07,2.593293e-07,7.661253e-07,1.8501571e-06,2.2868237e-06,2.9608905e-06,7.3804417e-06,1.3853403e-05,1.9683135e-05,2.2491573e-05,Trombone
-1.0164755e-07,5.3076295e-08,1.5196667e-07,2.7731335e-07,4.2110662e-07,5.6371965e-07,7.16581e-07,9.367705e-07,1.1333713e-06,1.381934e-06,Trombone
-3.778922e-09,2.0808766e-09,6.051075e-09,1.1134906e-08,1.6403522e-08,2.1711486e-08,2.7443168e-08,3.4401342e-08,4.071978e-08,4.769047e-08,French horn
-6.950211e-08,4.8433527e-08,1.3873259e-07,2.390771e-07,3.3366703e-07,4.030921e-07,4.1665888e-07,5.5234045e-07,5.801268e-07,9.2235695e-07,Trombone
-2.8375723e-07,1.9222605e-07,5.646657e-07,8.692212e-07,1.2306764e-06,2.0447849e-06,2.1081407e-06,1.2154674e-06,1.449069e-06,3.390869e-06,French horn
-2.9120775e-07,1.4675221e-07,4.1052377e-07,7.4869797e-07,1.1385354e-06,1.4890552e-06,1.8365199e-06,2.364661e-06,2.79501e-06,3.338812e-06,French horn
-2.2505226e-08,9.9499795e-09,2.915039e-08,5.74063e-08,9.0973714e-08,1.2377066e-07,1.490878e-07,1.84189e-07,1.9389209e-07,2.3183789e-07,French horn
-3.95388e-09,1.9774549e-09,5.753841e-09,1.0524186e-08,1.5700596e-08,2.0161412e-08,2.4211175e-08,3.1282692e-08,3.6480536e-08,4.5091728e-08,French horn
-1.0491069e-07,5.5747208e-08,1.5631925e-07,2.794446e-07,4.157899e-07,5.3449054e-07,6.460061e-07,8.2587076e-07,9.900677e-07,1.2162499e-06,French horn
-1.47981e-09,6.562199e-10,2.155862e-09,4.1353916e-09,5.6292153e-09,6.650468e-09,7.881408e-09,1.0839242e-08,1.268016e-08,1.6186219e-08,French horn
-3.3323044e-08,1.7268533e-08,3.570099e-08,5.4917376e-08,1.6440308e-07,2.7102735e-07,2.8938464e-07,3.1035844e-07,1.6197893e-07,-8.703132e-09,French horn
-1.5958337e-07,7.141569e-08,1.9922368e-07,3.856574e-07,6.065025e-07,7.9540405e-07,9.756299e-07,1.3101594e-06,1.5865973e-06,2.0592342e-06,French horn
