scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
-7.2939436e-13,-2.9095561e-11,-3.6343983e-12,2.1181843e-11,6.407795e-11,9.415573e-11,6.5836905e-11,3.802326e-11,4.1261116e-11,7.3010965e-11,Violin
2.391763e-14,-2.3550207e-13,-4.842922e-12,-2.5847168e-11,3.7627696e-11,3.289941e-11,7.194685e-13,-9.587612e-12,9.859733e-12,3.862289e-11,Violin
-2.4079447e-13,-1.11013065e-11,6.953742e-14,-2.0152213e-11,-6.918779e-11,-9.0297186e-11,5.015763e-13,2.646681e-10,3.9891038e-10,3.6925973e-11,Violin
-9.335063e-12,3.3849108e-11,1.1825691e-11,1.2003604e-12,4.1951807e-12,8.440223e-12,1.3401524e-11,2.7734223e-11,4.302557e-11,6.7012604e-11,Violin
-1.0345853e-11,1.4422259e-11,3.985522e-11,9.508938e-12,1.6772807e-11,5.7122335e-11,5.357885e-11,2.0132134e-11,-1.8721968e-11,-2.7581744e-11,Violin
-1.1083242e-11,8.7154177e-13,1.9570253e-11,7.079216e-11,6.620538e-11,6.677561e-11,7.9194734e-11,7.195891e-11,4.6118245e-11,3.771919e-11,Violin
-9.3686335e-12,9.263236e-12,2.9690788e-11,6.2131446e-11,9.2966426e-11,1.5400074e-10,1.0490908e-10,-1.6231025e-10,-3.405596e-10,-2.8510452e-10,Violin
-4.006609e-13,-1.5969379e-11,5.4429703e-12,1.8211264e-11,1.1833857e-11,1.00573e-11,2.480472e-11,6.500755e-11,9.8026906e-11,1.0524942e-10,Violin
-1.625868e-13,-5.263181e-12,8.963898e-12,3.357121e-11,4.5904572e-11,1.8533796e-11,-4.025486e-11,-9.398573e-11,-1.1940308e-10,-1.3729728e-10,Violin
-1.9756127e-13,-3.9169735e-12,8.21617e-12,3.7066638e-11,1.9090651e-11,3.972792e-11,1.4269512e-10,2.7674224e-10,4.3356368e-10,3.362764e-10,Violin
